,Platform,Genre,Publisher,Critic_Score,User_Score,Rating,Cat
545,PS3,Sports,Electronic Arts,80.0,6.9,E,Sports
546,PS3,Misc,Activision,74.0,7.1,T,Puzzle
547,PS2,Simulation,Electronic Arts,75.0,4.4,T,Strategy
548,XB,Action,Ubisoft,83.0,7.5,M,Action
549,X360,Misc,Activision,84.0,8.1,T,Puzzle
550,PS2,Misc,Activision,71.0,6.3,T,Puzzle
551,X360,Action,THQ,83.0,8,M,Action
552,X360,Racing,Electronic Arts,76.0,5.4,E10+,Sports
553,X360,Action,Activision,74.0,7,M,Action
554,PS2,Simulation,Ubisoft,78.0,8.4,T,Strategy
555,X360,Action,Electronic Arts,65.0,6.9,M,Action
556,X360,Misc,Activision,76.0,5,E10+,Puzzle
557,PS2,Sports,Electronic Arts,83.0,8.3,E,Sports
558,XB,Sports,Electronic Arts,82.0,8.2,E,Sports
559,PS3,Sports,Electronic Arts,81.0,7.7,E,Sports
560,X360,Action,Ubisoft,85.0,8.1,M,Action
561,X360,Fighting,Electronic Arts,86.0,7.4,M,Sports
562,PS3,Shooter,Activision,72.0,6.3,T,Action
563,X360,Platform,Ubisoft,87.0,8.2,E10+,Adventure
564,PS2,Fighting,Electronic Arts,53.0,6.3,T,Sports
565,X360,Sports,THQ,70.0,6.5,E,Sports
566,PS2,Shooter,Sony Computer Entertainment,65.0,6.9,M,Action
567,PS2,Platform,THQ,67.0,8.4,E,Adventure
568,PS3,Action,Sony Computer Entertainment,55.0,5.8,T,Action
569,PS3,Misc,Activision,86.0,7.8,T,Puzzle
570,PS2,Action,Activision,69.0,6.5,E,Action
571,XB,Sports,Activision,83.0,7.8,T,Sports
572,PS2,Sports,Electronic Arts,76.0,9,E,Sports
573,PS3,Action,Electronic Arts,54.0,7.1,T,Action
574,PS3,Misc,Activision,76.0,5.7,E10+,Puzzle
575,PS3,Action,Electronic Arts,67.0,7.2,M,Action
576,PC,Action,Ubisoft,80.0,7.4,M,Action
577,PS3,Action,Activision,79.0,6.8,M,Action
578,PS3,Shooter,THQ,85.0,8.1,M,Action
579,PC,Action,Electronic Arts,86.0,6.8,M,Action
580,PS3,Sports,Sony Computer Entertainment,87.0,7.8,E,Sports
581,PS3,Role-Playing,Activision,74.0,7.3,T,Strategy
582,PC,Role-Playing,Electronic Arts,85.0,5.9,M,Strategy
583,PS3,Sports,Electronic Arts,79.0,6.6,E,Sports
584,X360,Sports,Electronic Arts,88.0,7.7,E10+,Sports
585,X360,Sports,Electronic Arts,79.0,6.9,E,Sports
586,XB,Strategy,THQ,84.0,8.7,M,Strategy
587,PS2,Action,Activision,74.0,7.9,T,Action
588,PS2,Sports,Electronic Arts,68.0,6.6,E,Sports
589,XB,Shooter,Electronic Arts,73.0,8.9,M,Action
590,PS2,Sports,Electronic Arts,79.0,6,E,Sports
591,PS3,Sports,Sony Computer Entertainment,90.0,8.1,E,Sports
592,PS3,Sports,Sony Computer Entertainment,91.0,8.3,E,Sports
593,X360,Racing,THQ,75.0,6.6,E,Sports
594,PS3,Racing,Activision,81.0,8.2,E10+,Sports
595,PC,Shooter,Electronic Arts,87.0,8.3,M,Action
596,XB,Action,Electronic Arts,79.0,8.1,T,Action
597,XB,Sports,Electronic Arts,92.0,8.3,E,Sports
598,X360,Sports,Electronic Arts,86.0,8.4,T,Sports
599,PC,Shooter,Electronic Arts,91.0,8,M,Action
600,PS2,Action,THQ,49.0,6.2,E,Action
601,X360,Sports,Electronic Arts,77.0,7.4,E,Sports
602,X360,Sports,Electronic Arts,83.0,7.7,E,Sports
603,XB,Shooter,Activision,77.0,7.9,M,Action
604,X360,Sports,Electronic Arts,82.0,6.4,E,Sports
605,X360,Sports,Electronic Arts,81.0,7.8,E,Sports
606,XB,Action,Activision,58.0,5.9,T,Action
607,PS2,Shooter,Sony Computer Entertainment,73.0,8.3,T,Action
608,X360,Sports,Electronic Arts,86.0,7,E10+,Sports
609,PS2,Racing,Electronic Arts,66.0,6.6,E,Sports
610,PS3,Sports,Sony Computer Entertainment,85.0,8.7,E,Sports
611,X360,Racing,Ubisoft,80.0,7.6,T,Sports
612,PS3,Shooter,Activision,65.0,7.4,T,Action
613,X360,Sports,Ubisoft,40.0,4.4,T,Sports
614,PS3,Action,Ubisoft,75.0,7.6,T,Action
615,PC,Simulation,Electronic Arts,77.0,6.1,T,Strategy
616,XB,Sports,Electronic Arts,89.0,8.8,E,Sports
617,X360,Racing,THQ,70.0,7.1,E,Sports
618,XB,Sports,Electronic Arts,89.0,8,E,Sports
619,PS3,Platform,Sony Computer Entertainment,85.0,8.8,E10+,Adventure
620,PS2,Action,Ubisoft,85.0,8.5,M,Action
621,XB,Sports,Electronic Arts,80.0,7.5,E,Sports
622,XB,Fighting,Electronic Arts,85.0,8.7,T,Sports
623,XB,Shooter,Activision,84.0,8.8,M,Action
624,PS3,Platform,Activision,60.0,7,T,Adventure
